run,start_row,start_col,end_row,end_col,terrain_cells,terrain_dist_km,terrain_time_min,terrain_gain_m,terrain_loss_m,shortest_cells,shortest_dist_km,shortest_time_min,shortest_gain_m,shortest_loss_m,extra_dist_m,time_saved_min
60,245,228,652,458,493,14.77737760464582,204.80490164644084,450.2666931152344,583.914794921875,408,13.187309825925562,258.2083299671659,752.01171875,885.6595458984375,1590.0677787202567,53.403428320725084
61,387,727,896,689,523,15.282281963486547,190.16741199857017,272.83148193359375,533.6784057617188,510,13.77729629982322,252.84322759621912,683.1770629882812,944.0248413085938,1504.9856636633267,62.67581559764895
62,581,895,424,32,869,25.138824506809218,356.7293722441464,982.79541015625,810.1614990234375,864,24.365900338345245,497.7621324767556,1482.013916015625,1309.379638671875,772.9241684639746,141.03276023260918
63,411,892,718,581,349,12.203756574323956,142.94807667191287,119.87565612792969,263.11126708984375,312,11.504188582787773,164.97681710610476,364.13934326171875,507.3749084472656,699.5679915361834,22.02874043419189
64,47,169,456,65,412,12.226545416849474,152.52674641573321,232.75506591796875,289.50701904296875,410,11.86952412086247,178.1629850511282,437.86083984375,494.61279296875,357.0212959870041,25.63623863539499
65,574,618,773,0,619,18.672836318084336,245.3838035603128,473.7654113769531,361.406494140625,619,18.390076694530297,397.00844001713455,1268.16015625,1155.801025390625,282.75962355404045,151.62463645682175
66,905,39,506,333,400,13.673289786035086,184.39931448894836,440.5464172363281,309.6263427734375,400,13.673289786035049,247.76205454562674,830.4905395507812,699.57080078125,3.637978807091713e-11,63.362740056678376
67,319,857,478,51,816,23.529777401845188,295.8453684528839,431.863525390625,476.88946533203125,807,22.891089512068902,375.5953801338198,775.1519775390625,820.1781005859375,638.6878897762872,79.75001168093587
68,425,192,561,648,466,14.133732241310765,196.1178497911015,429.8075256347656,505.1435241699219,457,13.451542870988039,296.82433488207437,707.4299926757812,782.7662353515625,682.1893703227252,100.70648509097288
69,85,857,742,133,807,27.43699422920511,335.3027186332749,355.8590393066406,618.662841796875,725,26.15407562159499,461.6627578590411,949.2355346679688,1212.038818359375,1282.9186076101178,126.36003922576623
70,15,411,694,427,705,21.844337492431098,300.3129701520568,748.3953857421875,861.7551879882812,680,18.00146739038562,629.0803860620449,1956.556884765625,2069.9169921875,3842.870102045479,328.76741590998813
71,734,772,2,842,734,20.365419760587784,278.47882140169634,704.9525146484375,480.0115966796875,733,19.980277079997155,306.81617280474995,840.373046875,615.43212890625,385.14268059063033,28.337351403053617
72,691,541,626,100,487,14.043450190922428,189.8032134475934,465.99176025390625,203.74386596679688,442,12.285559600085891,244.45805193476443,879.7136840820312,617.46533203125,1757.890590836536,54.65483848717102
73,195,121,622,664,632,20.536709196258407,278.26524802526467,615.373779296875,873.048583984375,544,18.900501129708676,443.1155932305822,1454.5377197265625,1712.2130126953125,1636.2080665497306,164.85034520531752
74,203,894,309,286,610,17.392501590243924,223.7770192390487,423.0447692871094,385.757080078125,609,17.116112611020213,320.3459035335276,788.1490478515625,750.861572265625,276.3889792237096,96.56888429447886
75,705,186,102,487,631,20.02106207402774,273.7063502568886,679.107177734375,547.4737548828125,604,19.105532457275185,424.340015579709,1240.969482421875,1109.3363037109375,915.5296167525557,150.63366532282043
76,874,406,642,83,335,11.32503765278211,173.66334821670168,630.2551879882812,380.92266845703125,324,11.00360141549396,211.065063236898,858.9524536132812,609.6206665039062,321.43623728814964,37.40171502019632
77,22,281,463,819,604,20.09519113971408,260.5765365658615,458.1982116699219,609.3992919921875,539,18.921478981223217,338.8851966044489,965.204833984375,1116.405517578125,1173.7121584908637,78.30866003858739
78,136,669,533,836,398,12.239606846516045,148.9699120404172,159.271728515625,389.82733154296875,398,12.239606846515988,165.28205726119728,255.9571990966797,486.5127868652344,5.638867150992155e-11,16.31214522078008
79,666,660,355,117,605,19.403672176772385,274.309114687064,709.91845703125,519.678466796875,544,17.638958193852847,420.46632444887445,1265.0328369140625,1074.7928466796875,1764.7139829195403,146.15720976181046
80,892,158,285,871,762,26.08149233342621,326.6329466843969,511.9215393066406,482.522705078125,714,25.32149698788241,429.14114673548977,1296.600830078125,1267.2030029296875,759.9953455438008,102.50820005109284
81,375,581,869,43,616,20.703891726362606,262.6478365392899,445.0418701171875,566.5232543945312,539,19.49787359846786,458.94769010931725,1151.8818359375,1273.36279296875,1206.0181278947493,196.29985357002732
82,892,550,182,212,770,23.65969648898616,349.2850297143381,1002.5853271484375,882.15283203125,711,22.317256022873334,439.0692008633765,1373.811279296875,1253.3779296875,1342.4404661128247,89.7841711490384
83,384,601,298,9,595,17.24880311219048,227.6380232082375,489.9797668457031,512.243896484375,593,16.47851775100936,300.90001642488215,839.0870971679688,861.351318359375,770.2853611811188,73.26199321664464
84,95,346,798,635,746,22.920811601703296,314.371855152951,638.5480346679688,893.364990234375,704,21.60057462361689,425.12642640987235,1282.8101806640625,1537.6275634765625,1320.2369780864065,110.75457125692134
85,404,561,132,300,377,11.796995760206661,169.81435724085958,386.5671691894531,472.8066101074219,273,9.9799583793871,223.4721550889322,681.495849609375,767.735107421875,1817.0373808195618,53.65779784807262
86,117,489,748,245,665,19.924089238302937,284.23010624027586,746.7373046875,828.4501953125,632,19.220789409718925,668.5767979354952,1356.07763671875,1437.7894287109375,703.2998285840149,384.3466916952193
87,49,315,183,877,565,16.352385428428995,210.44370459198117,375.56884765625,286.6003112792969,563,16.212871535175733,238.24606147026546,638.5049438476562,549.5362548828125,139.5138932532609,27.802356878284286
88,535,746,72,309,632,19.623178104776606,261.65774128522014,589.0469970703125,449.5400085449219,464,16.908817544689995,325.43613032774283,1056.52880859375,917.0222778320312,2714.3605600866103,63.77838904252269
